"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"    Estimate","19,312"
"    Percent","71.6%"
"Alexandria city, Virginia",""
"    Estimate","32,065"
"    Percent","42.1%"
"Bristol city, Virginia",""
"    Estimate","4,598"
"    Percent","63.6%"
"Buena Vista city, Virginia",""
"    Estimate","1,443"
"    Percent","56.5%"
"Charlottesville city, Virginia",""
"    Estimate","8,767"
"    Percent","44.2%"
"Chesapeake city, Virginia",""
"    Estimate","69,615"
"    Percent","74.4%"
"Colonial Heights city, Virginia",""
"    Estimate","5,127"
"    Percent","68.1%"
"Covington city, Virginia",""
"    Estimate","1,806"
"    Percent","70.1%"
"Danville city, Virginia",""
"    Estimate","9,109"
"    Percent","47.8%"
"Emporia city, Virginia",""
"    Estimate","822"
"    Percent","38.1%"
"Fairfax city, Virginia",""
"    Estimate","6,399"
"    Percent","69.9%"
"Falls Church city, Virginia",""
"    Estimate","3,295"
"    Percent","52.5%"
"Franklin city, Virginia",""
"    Estimate","1,861"
"    Percent","53.9%"
"Fredericksburg city, Virginia",""
"    Estimate","4,657"
"    Percent","39.7%"
"Galax city, Virginia",""
"    Estimate","1,556"
"    Percent","56.3%"
"Hampton city, Virginia",""
"    Estimate","33,046"
"    Percent","56.9%"
"Harrisonburg city, Virginia",""
"    Estimate","6,855"
"    Percent","39.5%"
"Hopewell city, Virginia",""
"    Estimate","5,359"
"    Percent","57.9%"
"Lexington city, Virginia",""
"    Estimate","1,176"
"    Percent","53.8%"
"Lynchburg city, Virginia",""
"    Estimate","14,027"
"    Percent","48.9%"
"Manassas city, Virginia",""
"    Estimate","10,151"
"    Percent","71.5%"
"Manassas Park city, Virginia",""
"    Estimate","3,452"
"    Percent","66.5%"
"Martinsville city, Virginia",""
"    Estimate","3,165"
"    Percent","55.4%"
"Newport News city, Virginia",""
"    Estimate","36,655"
"    Percent","48.2%"
"Norfolk city, Virginia",""
"    Estimate","44,000"
"    Percent","46.3%"
"Norton city, Virginia",""
"    Estimate","802"
"    Percent","50.0%"
"Petersburg city, Virginia",""
"    Estimate","5,846"
"    Percent","38.6%"
"Poquoson city, Virginia",""
"    Estimate","4,000"
"    Percent","84.6%"
"Portsmouth city, Virginia",""
"    Estimate","23,344"
"    Percent","57.9%"
"Radford city, Virginia",""
"    Estimate","2,343"
"    Percent","42.3%"
"Richmond city, Virginia",""
"    Estimate","45,407"
"    Percent","43.5%"
"Roanoke city, Virginia",""
"    Estimate","22,852"
"    Percent","52.4%"
"Salem city, Virginia",""
"    Estimate","6,441"
"    Percent","62.8%"
"Staunton city, Virginia",""
"    Estimate","6,885"
"    Percent","60.9%"
"Suffolk city, Virginia",""
"    Estimate","26,816"
"    Percent","70.7%"
"Virginia Beach city, Virginia",""
"    Estimate","117,165"
"    Percent","65.1%"
"Waynesboro city, Virginia",""
"    Estimate","5,898"
"    Percent","59.9%"
"Williamsburg city, Virginia",""
"    Estimate","2,673"
"    Percent","53.2%"
"Winchester city, Virginia",""
"    Estimate","5,011"
"    Percent","43.6%"
"Adams County, Washington",""
"    Estimate","4,358"
"    Percent","69.3%"
"Asotin County, Washington",""
"    Estimate","6,950"
"    Percent","73.2%"
"Benton County, Washington",""
"    Estimate","52,779"
"    Percent","67.6%"
"Chelan County, Washington",""
"    Estimate","20,363"
"    Percent","64.6%"
"Clallam County, Washington",""
"    Estimate","25,837"
"    Percent","73.7%"
"Clark County, Washington",""
"    Estimate","130,065"
"    Percent","66.4%"
"Columbia County, Washington",""
"    Estimate","1,447"
"    Percent","77.7%"
"Cowlitz County, Washington",""
"    Estimate","29,876"
"    Percent","68.0%"
"Douglas County, Washington",""
"    Estimate","11,031"
"    Percent","69.3%"
"Ferry County, Washington",""
"    Estimate","2,475"
"    Percent","78.1%"
"Franklin County, Washington",""
"    Estimate","21,209"
"    Percent","71.0%"
"Garfield County, Washington",""
"    Estimate","793"
"    Percent","76.9%"
"Grant County, Washington",""
"    Estimate","23,461"
"    Percent","66.3%"
"Grays Harbor County, Washington",""
"    Estimate","22,424"
"    Percent","73.2%"
"Island County, Washington",""
"    Estimate","26,888"
"    Percent","74.7%"
"Jefferson County, Washington",""
"    Estimate","12,916"
"    Percent","79.0%"
"King County, Washington",""
"    Estimate","521,805"
"    Percent","55.4%"
"Kitsap County, Washington",""
"    Estimate","76,121"
"    Percent","70.1%"
"Kittitas County, Washington",""
"    Estimate","12,294"
"    Percent","61.5%"
"Klickitat County, Washington",""
"    Estimate","7,569"
"    Percent","76.7%"
"Lewis County, Washington",""
"    Estimate","24,938"
"    Percent","75.8%"
"Lincoln County, Washington",""
"    Estimate","3,874"
"    Percent","80.4%"
"Mason County, Washington",""
"    Estimate","21,426"
"    Percent","82.3%"
"Okanogan County, Washington",""
"    Estimate","12,698"
"    Percent","72.4%"
"Pacific County, Washington",""
"    Estimate","8,980"
"    Percent","81.8%"
"Pend Oreille County, Washington",""
"    Estimate","4,808"
"    Percent","80.8%"
"Pierce County, Washington",""
"    Estimate","227,400"
"    Percent","64.7%"
"San Juan County, Washington",""
"    Estimate","7,031"
"    Percent","78.0%"
"Skagit County, Washington",""
"    Estimate","36,664"
"    Percent","70.1%"
"Skamania County, Washington",""
"    Estimate","4,016"
"    Percent","80.0%"
"Snohomish County, Washington",""
"    Estimate","215,602"
"    Percent","68.2%"
"Spokane County, Washington",""
"    Estimate","140,832"
"    Percent","64.5%"
"Stevens County, Washington",""
"    Estimate","15,464"
"    Percent","79.8%"
"Thurston County, Washington",""
"    Estimate","80,487"
"    Percent","67.7%"
"Wahkiakum County, Washington",""
"    Estimate","1,747"
"    Percent","83.2%"
"Walla Walla County, Washington",""
"    Estimate","15,236"
"    Percent","65.0%"
"Whatcom County, Washington",""
"    Estimate","59,904"
"    Percent","63.7%"
"Whitman County, Washington",""
"    Estimate","8,765"
"    Percent","46.8%"
"Yakima County, Washington",""
"    Estimate","54,244"
"    Percent","61.8%"
"Barbour County, West Virginia",""
"    Estimate","4,819"
"    Percent","78.3%"
"Berkeley County, West Virginia",""
"    Estimate","38,780"
"    Percent","76.0%"
"Boone County, West Virginia",""
"    Estimate","6,446"
"    Percent","81.3%"
"Braxton County, West Virginia",""
"    Estimate","3,680"
"    Percent","76.8%"
"Brooke County, West Virginia",""
"    Estimate","7,220"
"    Percent","74.6%"
"Cabell County, West Virginia",""
"    Estimate","25,233"
"    Percent","64.2%"
"Calhoun County, West Virginia",""
"    Estimate","2,200"
"    Percent","87.1%"
"Clay County, West Virginia",""
"    Estimate","2,258"
"    Percent","76.0%"
"Doddridge County, West Virginia",""
"    Estimate","2,268"
"    Percent","88.8%"
"Fayette County, West Virginia",""
"    Estimate","12,387"
"    Percent","77.7%"
"Gilmer County, West Virginia",""
"    Estimate","1,705"
"    Percent","75.6%"
"Grant County, West Virginia",""
"    Estimate","3,562"
"    Percent","81.1%"
"Greenbrier County, West Virginia",""
"    Estimate","10,812"
"    Percent","73.1%"
"Hampshire County, West Virginia",""
"    Estimate","7,147"
"    Percent","82.7%"
"Hancock County, West Virginia",""
"    Estimate","9,553"
"    Percent","74.5%"
"Hardy County, West Virginia",""
"    Estimate","4,605"
"    Percent","77.3%"
"Harrison County, West Virginia",""
"    Estimate","19,388"
"    Percent","73.6%"
"Jackson County, West Virginia",""
"    Estimate","9,056"
"    Percent","78.6%"
"Jefferson County, West Virginia",""
"    Estimate","18,305"
"    Percent","80.3%"
"Kanawha County, West Virginia",""
"    Estimate","54,328"
"    Percent","71.1%"
"Lewis County, West Virginia",""
"    Estimate","5,031"
"    Percent","72.2%"
"Lincoln County, West Virginia",""
"    Estimate","5,713"
"    Percent","74.5%"
"Logan County, West Virginia",""
"    Estimate","9,831"
"    Percent","77.0%"
"McDowell County, West Virginia",""
"    Estimate","4,997"
"    Percent","77.3%"
"Marion County, West Virginia",""
"    Estimate","17,897"
"    Percent","76.7%"
"Marshall County, West Virginia",""
"    Estimate","9,793"
"    Percent","78.4%"
"Mason County, West Virginia",""
"    Estimate","8,357"
"    Percent","81.8%"
"Mercer County, West Virginia",""
"    Estimate","17,652"
"    Percent","72.9%"
"Mineral County, West Virginia",""
"    Estimate","9,005"
"    Percent","81.0%"
"Mingo County, West Virginia",""
"    Estimate","6,841"
"    Percent","73.4%"
"Monongalia County, West Virginia",""
"    Estimate","25,818"
"    Percent","57.9%"
"Monroe County, West Virginia",""
"    Estimate","4,012"
"    Percent","86.9%"
"Morgan County, West Virginia",""
"    Estimate","6,177"
"    Percent","84.1%"
"Nicholas County, West Virginia",""
"    Estimate","7,782"
"    Percent","82.2%"
"Ohio County, West Virginia",""
"    Estimate","12,178"
"    Percent","66.4%"
"Pendleton County, West Virginia",""
"    Estimate","1,989"
"    Percent","84.9%"
"Pleasants County, West Virginia",""
"    Estimate","2,255"
"    Percent","81.4%"
"Pocahontas County, West Virginia",""
"    Estimate","2,660"
"    Percent","83.6%"
"Preston County, West Virginia",""
"    Estimate","10,438"
"    Percent","81.5%"
"Putnam County, West Virginia",""
"    Estimate","19,015"
"    Percent","81.8%"
"Raleigh County, West Virginia",""
"    Estimate","21,849"
"    Percent","75.3%"
"Randolph County, West Virginia",""
"    Estimate","8,007"
"    Percent","75.0%"
"Ritchie County, West Virginia",""
"    Estimate","2,854"
"    Percent","84.2%"
"Roane County, West Virginia",""
"    Estimate","4,499"
"    Percent","78.9%"
"Summers County, West Virginia",""
"    Estimate","3,798"
"    Percent","81.2%"
"Taylor County, West Virginia",""
"    Estimate","5,543"
"    Percent","83.9%"
"Tucker County, West Virginia",""
"    Estimate","2,298"
"    Percent","80.9%"
"Tyler County, West Virginia",""
"    Estimate","2,771"
"    Percent","84.1%"
"Upshur County, West Virginia",""
"    Estimate","7,714"
"    Percent","80.7%"
"Wayne County, West Virginia",""
"    Estimate","12,388"
"    Percent","78.6%"
"Webster County, West Virginia",""
"    Estimate","2,241"
"    Percent","77.3%"
"Wetzel County, West Virginia",""
"    Estimate","5,083"
"    Percent","83.2%"
"Wirt County, West Virginia",""
"    Estimate","1,791"
"    Percent","87.8%"
"Wood County, West Virginia",""
"    Estimate","26,912"
"    Percent","75.1%"
"Wyoming County, West Virginia",""
"    Estimate","6,654"
"    Percent","82.5%"
"Adams County, Wisconsin",""
"    Estimate","8,207"
"    Percent","86.2%"
"Ashland County, Wisconsin",""
"    Estimate","5,017"
"    Percent","73.4%"
"Barron County, Wisconsin",""
"    Estimate","15,439"
"    Percent","77.4%"
"Bayfield County, Wisconsin",""
"    Estimate","6,237"
"    Percent","83.9%"
"Brown County, Wisconsin",""
"    Estimate","73,206"
"    Percent","66.0%"
"Buffalo County, Wisconsin",""
"    Estimate","4,433"
"    Percent","77.5%"
"Burnett County, Wisconsin",""
"    Estimate","6,171"
"    Percent","85.9%"
"Calumet County, Wisconsin",""
"    Estimate","17,114"
"    Percent","80.1%"
"Chippewa County, Wisconsin",""
"    Estimate","20,126"
"    Percent","74.2%"
"Clark County, Wisconsin",""
"    Estimate","10,082"
"    Percent","78.5%"
"Columbia County, Wisconsin",""
"    Estimate","18,520"
"    Percent","76.7%"
"Crawford County, Wisconsin",""
"    Estimate","5,174"
"    Percent","77.2%"
"Dane County, Wisconsin",""
"    Estimate","143,682"
"    Percent","57.1%"
"Dodge County, Wisconsin",""
"    Estimate","25,612"
"    Percent","71.3%"
"Door County, Wisconsin",""
"    Estimate","11,724"
"    Percent","78.2%"
"Douglas County, Wisconsin",""
"    Estimate","13,774"
"    Percent","71.9%"
"Dunn County, Wisconsin",""
"    Estimate","11,693"
"    Percent","67.0%"
"Eau Claire County, Wisconsin",""
"    Estimate","27,299"
"    Percent","61.0%"
"Florence County, Wisconsin",""
"    Estimate","1,996"
"    Percent","90.9%"
"Fond du Lac County, Wisconsin",""
"    Estimate","30,579"
"    Percent","70.7%"
"Forest County, Wisconsin",""
"    Estimate","3,284"
"    Percent","82.0%"
"Grant County, Wisconsin",""
"    Estimate","13,935"
"    Percent","69.8%"
"Green County, Wisconsin",""
"    Estimate","11,968"
"    Percent","75.9%"
"Green Lake County, Wisconsin",""
"    Estimate","6,170"
"    Percent","74.5%"
"Iowa County, Wisconsin",""
"    Estimate","7,828"
"    Percent","77.4%"
"Iron County, Wisconsin",""
"    Estimate","2,752"
"    Percent","88.5%"
"Jackson County, Wisconsin",""
"    Estimate","6,631"
"    Percent","80.1%"
"Jefferson County, Wisconsin",""
"    Estimate","25,502"
"    Percent","73.1%"
"Juneau County, Wisconsin",""
"    Estimate","8,559"
"    Percent","78.1%"
"Kenosha County, Wisconsin",""
"    Estimate","45,963"
"    Percent","66.7%"
"Kewaunee County, Wisconsin",""
"    Estimate","7,228"
"    Percent","86.5%"
"La Crosse County, Wisconsin",""
"    Estimate","32,012"
"    Percent","62.2%"
"Lafayette County, Wisconsin",""
"    Estimate","5,421"
"    Percent","80.2%"
"Langlade County, Wisconsin",""
"    Estimate","6,829"
"    Percent","76.9%"
"Lincoln County, Wisconsin",""
"    Estimate","10,158"
"    Percent","79.5%"
"Manitowoc County, Wisconsin",""
"    Estimate","27,129"
"    Percent","77.1%"
"Marathon County, Wisconsin",""
"    Estimate","42,414"
