County,Total civilian noninstitutionalized population
        Estimate,14.60%
"Douglas County, Kansas",
    Total,
        Estimate,"119,683"
    With a disability,
        Estimate,"13,387"
    Percent with a disability,
        Estimate,11.20%
"Edwards County, Kansas",
    Total,
        Estimate,"2,726"
    With a disability,
        Estimate,487
    Percent with a disability,
        Estimate,17.90%
"Elk County, Kansas",
    Total,
        Estimate,"2,444"
    With a disability,
        Estimate,603
    Percent with a disability,
        Estimate,24.70%
"Ellis County, Kansas",
    Total,
        Estimate,"28,739"
    With a disability,
        Estimate,"3,163"
    Percent with a disability,
        Estimate,11.00%
"Ellsworth County, Kansas",
    Total,
        Estimate,"5,318"
    With a disability,
        Estimate,865
    Percent with a disability,
        Estimate,16.30%
"Finney County, Kansas",
    Total,
        Estimate,"37,843"
    With a disability,
        Estimate,"5,125"
    Percent with a disability,
        Estimate,13.50%
"Ford County, Kansas",
    Total,
        Estimate,"33,628"
    With a disability,
        Estimate,"3,946"
    Percent with a disability,
        Estimate,11.70%
"Franklin County, Kansas",
    Total,
        Estimate,"25,891"
    With a disability,
        Estimate,"4,053"
    Percent with a disability,
        Estimate,15.70%
"Geary County, Kansas",
    Total,
        Estimate,"30,519"
    With a disability,
        Estimate,"4,644"
    Percent with a disability,
        Estimate,15.20%
"Gove County, Kansas",
    Total,
        Estimate,"2,765"
    With a disability,
        Estimate,342
    Percent with a disability,
        Estimate,12.40%
"Graham County, Kansas",
    Total,
        Estimate,"2,353"
    With a disability,
        Estimate,365
    Percent with a disability,
        Estimate,15.50%
"Grant County, Kansas",
    Total,
        Estimate,"7,176"
    With a disability,
        Estimate,575
    Percent with a disability,
        Estimate,8.00%
"Gray County, Kansas",
    Total,
        Estimate,"5,616"
    With a disability,
        Estimate,502
    Percent with a disability,
        Estimate,8.90%
"Greeley County, Kansas",
    Total,
        Estimate,"1,280"
    With a disability,
        Estimate,158
    Percent with a disability,
        Estimate,12.30%
"Greenwood County, Kansas",
    Total,
        Estimate,"5,850"
    With a disability,
        Estimate,960
    Percent with a disability,
        Estimate,16.40%
"Hamilton County, Kansas",
    Total,
        Estimate,"2,460"
    With a disability,
        Estimate,354
    Percent with a disability,
        Estimate,14.40%
"Harper County, Kansas",
    Total,
        Estimate,"5,283"
    With a disability,
        Estimate,"1,027"
    Percent with a disability,
        Estimate,19.40%
"Harvey County, Kansas",
    Total,
        Estimate,"33,036"
    With a disability,
        Estimate,"4,320"
    Percent with a disability,
        Estimate,13.10%
"Haskell County, Kansas",
    Total,
        Estimate,"3,591"
    With a disability,
        Estimate,438
    Percent with a disability,
        Estimate,12.20%
"Hodgeman County, Kansas",
    Total,
        Estimate,"1,631"
    With a disability,
        Estimate,209
    Percent with a disability,
        Estimate,12.80%
"Jackson County, Kansas",
    Total,
        Estimate,"13,165"
    With a disability,
        Estimate,"1,973"
    Percent with a disability,
        Estimate,15.00%
"Jefferson County, Kansas",
    Total,
        Estimate,"18,130"
    With a disability,
        Estimate,"2,408"
    Percent with a disability,
        Estimate,13.30%
"Jewell County, Kansas",
    Total,
        Estimate,"2,889"
    With a disability,
        Estimate,674
    Percent with a disability,
        Estimate,23.30%
"Johnson County, Kansas",
    Total,
        Estimate,"615,815"
    With a disability,
        Estimate,"55,369"
